delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JC Buttler,DR Sams,0,D Padikkal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Rajasthan Royals,Navi Mumbai,2022-04-30,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,SA Yadav,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,"Dr DY Patil Sports Academy, Mumbai"
0.2,D Padikkal,DR Sams,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Rajasthan Royals,Navi Mumbai,2022-04-30,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,SA Yadav,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,"Dr DY Patil Sports Academy, Mumbai"
0.3,JC Buttler,DR Sams,0,D Padikkal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Rajasthan Royals,Navi Mumbai,2022-04-30,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,SA Yadav,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,"Dr DY Patil Sports Academy, Mumbai"
0.4,D Padikkal,DR Sams,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Rajasthan Royals,Navi Mumbai,2022-04-30,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,SA Yadav,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,"Dr DY Patil Sports Academy, Mumbai"
0.5,D Padikkal,DR Sams,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Rajasthan Royals,Navi Mumbai,2022-04-30,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,SA Yadav,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,"Dr DY Patil Sports Academy, Mumbai"
0.6,D Padikkal,DR Sams,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Rajasthan Royals,Navi Mumbai,2022-04-30,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,SA Yadav,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,"Dr DY Patil Sports Academy, Mumbai"
1.1,JC Buttler,JJ Bumrah,0,D Padikkal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Rajasthan Royals,Navi Mumbai,2022-04-30,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,SA Yadav,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,"Dr DY Patil Sports Academy, Mumbai"
1.2,JC Buttler,JJ Bumrah,0,D Padikkal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Rajasthan Royals,Navi Mumbai,2022-04-30,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,SA Yadav,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,"Dr DY Patil Sports Academy, Mumbai"
1.3,JC Buttler,JJ Bumrah,0,D Padikkal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Rajasthan Royals,Navi Mumbai,2022-04-30,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,SA Yadav,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,"Dr DY Patil Sports Academy, Mumbai"
1.4,JC Buttler,JJ Bumrah,0,D Padikkal,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Rajasthan Royals,Navi Mumbai,2022-04-30,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,SA Yadav,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,"Dr DY Patil Sports Academy, Mumbai"
