delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,TM Head,SN Thakur,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.2,TM Head,SN Thakur,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.3,TM Head,SN Thakur,0,Abhishek Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.4,TM Head,SN Thakur,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.5,TM Head,SN Thakur,0,Abhishek Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.6,Abhishek Sharma,SN Thakur,0,TM Head,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.1,Abhishek Sharma,Avesh Khan,0,TM Head,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.2,Abhishek Sharma,Avesh Khan,0,TM Head,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.3,Abhishek Sharma,Avesh Khan,0,TM Head,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.4,Abhishek Sharma,Avesh Khan,0,TM Head,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.5,TM Head,Avesh Khan,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.6,TM Head,Avesh Khan,0,Abhishek Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Hyderabad,2025-03-27,male,T20,0,Lucknow Super Giants,wickets,5,0,0,0,0,SN Thakur,20,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
