delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DA Warner,DL Chahar,0,JM Bairstow,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
0.2,JM Bairstow,DL Chahar,0,DA Warner,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
0.3,DA Warner,DL Chahar,{'wides': 1},JM Bairstow,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
0.4,DA Warner,DL Chahar,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
0.5,DA Warner,DL Chahar,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
0.6,DA Warner,DL Chahar,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
0.7,DA Warner,DL Chahar,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
1.1,JM Bairstow,SM Curran,0,DA Warner,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
1.2,DA Warner,SM Curran,0,JM Bairstow,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
1.3,DA Warner,SM Curran,0,JM Bairstow,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
1.4,DA Warner,SM Curran,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
1.5,DA Warner,SM Curran,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
1.6,DA Warner,SM Curran,{'legbyes': 1},JM Bairstow,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
2.1,DA Warner,DL Chahar,0,JM Bairstow,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
2.2,DA Warner,DL Chahar,0,JM Bairstow,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
2.3,JM Bairstow,DL Chahar,0,DA Warner,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
2.4,JM Bairstow,DL Chahar,0,DA Warner,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
2.5,DA Warner,DL Chahar,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
2.6,DA Warner,DL Chahar,0,JM Bairstow,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
3.1,DA Warner,SM Curran,0,JM Bairstow,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
3.2,JM Bairstow,SM Curran,{'wides': 1},DA Warner,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
3.3,JM Bairstow,SM Curran,0,DA Warner,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'JM Bairstow', 'fielders': ['DL Chahar'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,JM Bairstow,['DL Chahar'],0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
3.4,DA Warner,SM Curran,0,MK Pandey,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
3.5,DA Warner,SM Curran,0,MK Pandey,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
3.6,DA Warner,SM Curran,0,MK Pandey,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
3.7,MK Pandey,SM Curran,0,DA Warner,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
4.1,DA Warner,DL Chahar,0,MK Pandey,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
4.2,MK Pandey,DL Chahar,0,DA Warner,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
4.3,MK Pandey,DL Chahar,0,DA Warner,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
4.4,MK Pandey,DL Chahar,0,DA Warner,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
4.5,DA Warner,DL Chahar,0,MK Pandey,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
4.6,MK Pandey,DL Chahar,0,DA Warner,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
5.1,DA Warner,SM Curran,0,MK Pandey,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
5.2,MK Pandey,SM Curran,0,DA Warner,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
5.3,MK Pandey,SM Curran,0,DA Warner,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
5.4,DA Warner,SM Curran,0,MK Pandey,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
5.5,DA Warner,SM Curran,0,MK Pandey,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
5.6,MK Pandey,SM Curran,0,DA Warner,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
6.1,DA Warner,SN Thakur,0,MK Pandey,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
6.2,MK Pandey,SN Thakur,0,DA Warner,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
6.3,DA Warner,SN Thakur,0,MK Pandey,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
6.4,DA Warner,SN Thakur,0,MK Pandey,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
6.5,DA Warner,SN Thakur,0,MK Pandey,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
6.6,MK Pandey,SN Thakur,0,DA Warner,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
7.1,MK Pandey,MM Ali,0,DA Warner,"{'extras': 0, 'total': 3, 'batsman': 3}",0,0.0,0,0.0,0,0,0,0,0,3,0,3,Sunrisers Hyderabad,Delhi,2021-04-28,male,T20,0,Chennai Super Kings,wickets,7,0,0,0,0,RD Gaikwad,20,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi"
