delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Abhishek Sharma,Fazalhaq Farooqi,0,TM Head,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.2,Abhishek Sharma,Fazalhaq Farooqi,0,TM Head,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.3,Abhishek Sharma,Fazalhaq Farooqi,0,TM Head,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.4,Abhishek Sharma,Fazalhaq Farooqi,0,TM Head,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.5,Abhishek Sharma,Fazalhaq Farooqi,0,TM Head,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.6,TM Head,Fazalhaq Farooqi,0,Abhishek Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.1,TM Head,M Theekshana,{'noballs': 1},Abhishek Sharma,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,1,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.2,TM Head,M Theekshana,{'wides': 1},Abhishek Sharma,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.3,TM Head,M Theekshana,0,Abhishek Sharma,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.4,TM Head,M Theekshana,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.5,TM Head,M Theekshana,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.6,TM Head,M Theekshana,0,Abhishek Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.7,TM Head,M Theekshana,0,Abhishek Sharma,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.8,TM Head,M Theekshana,0,Abhishek Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2.1,Abhishek Sharma,Fazalhaq Farooqi,0,TM Head,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Hyderabad,2025-03-23,male,T20,0,Sunrisers Hyderabad,runs,44,0,0,0,0,Ishan Kishan,20,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
