bowler,team1,team2,venue,date,delivery,runs,wicket,byes,legbyes,overs,economy,4w,5w,points,eco_bonus,last_5_wkts,career_wickets,career_eco,venue_wickets
A Ashish Reddy,Pune Warriors,Deccan Chargers,Subrata Roy Sahara Stadium,2012-04-26,24,32.0,2,0.0,0.0,4.0,8.0,0,0,50,0,2.0,0.95,9.827475979305248,2.0
A Ashish Reddy,Mumbai Indians,Deccan Chargers,Wankhede Stadium,2012-04-29,14,10.0,1,0.0,0.0,2.2,4.545454545454545,0,0,31,6,1.5,0.95,9.827475979305248,1.0
A Ashish Reddy,Deccan Chargers,Pune Warriors,Barabati Stadium,2012-05-01,18,30.0,1,0.0,0.0,3.0,10.0,0,0,23,-2,1.3333333333333333,0.95,9.827475979305248,1.0
A Ashish Reddy,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,12,14.0,1,0.0,0.0,2.0,7.0,0,0,25,0,1.25,0.95,9.827475979305248,0.5
A Ashish Reddy,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,2012-05-06,25,35.0,1,0.0,0.0,4.1,8.536585365853659,0,0,25,0,1.2,0.95,9.827475979305248,0.5
A Ashish Reddy,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2012-05-08,25,36.0,2,1.0,0.0,4.1,8.78048780487805,0,0,50,0,1.2,0.95,9.827475979305248,1.25
A Ashish Reddy,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2012-05-10,12,29.0,0,0.0,0.0,2.0,14.5,0,0,-6,-6,1.0,0.95,9.827475979305248,1.25
A Ashish Reddy,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2012-05-18,12,17.0,0,0.0,0.0,2.0,8.5,0,0,0,0,0.8,0.95,9.827475979305248,1.25
A Ashish Reddy,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2012-05-20,25,24.0,3,0.0,0.0,4.1,5.853658536585367,0,0,79,4,1.2,0.95,9.827475979305248,1.25
A Ashish Reddy,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",2013-04-05,12,21.0,1,0.0,0.0,2.0,10.5,0,0,21,-4,1.2,0.95,9.827475979305248,1.25
A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2013-04-07,6,7.0,1,0.0,0.0,1.0,7.0,0,0,25,0,1.0,0.95,9.827475979305248,1.25
A Ashish Reddy,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,2013-04-09,6,12.0,0,0.0,1.0,1.0,12.0,0,0,0,0,1.0,0.95,9.827475979305248,0.5
A Ashish Reddy,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2013-04-14,12,15.0,1,0.0,0.0,2.0,7.5,0,0,25,0,1.2,0.95,9.827475979305248,1.0
A Ashish Reddy,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",2013-04-25,5,14.0,0,0.0,0.0,0.5,28.0,0,0,0,0,0.6,0.95,9.827475979305248,0.5
A Ashish Reddy,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,2015-04-13,6,11.0,1,0.0,0.0,1.0,11.0,0,0,25,0,0.6,0.95,9.827475979305248,0.5
A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-16,6,5.0,0,0.0,0.0,1.0,5.0,0,0,0,0,0.4,0.95,9.827475979305248,0.5
A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-18,13,14.0,1,1.0,0.0,2.1,6.666666666666666,0,0,27,2,0.6,0.95,9.827475979305248,0.5
A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",2015-05-02,12,19.0,2,0.0,0.0,2.0,9.5,0,0,48,-2,0.8,0.95,9.827475979305248,1.25
A Ashish Reddy,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,2016-04-12,11,25.0,0,0.0,1.0,1.5,16.666666666666668,0,0,0,0,0.8,0.95,9.827475979305248,0.5
A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2016-04-16,12,14.0,1,0.0,0.0,2.0,7.0,0,0,25,0,0.8,0.95,9.827475979305248,1.25
A Badoni,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",2022-04-24,6,6.0,1,0.0,0.0,1.0,6.0,0,0,25,0,1.0,0.4,7.2,1.0
A Badoni,Rajasthan Royals,Lucknow Super Giants,"Brabourne Stadium, Mumbai",2022-05-15,6,5.0,1,0.0,1.0,1.0,5.0,0,0,25,0,1.0,0.4,7.2,1.0
A Chandila,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,2012-04-23,24,29.0,0,0.0,0.0,4.0,7.25,0,0,0,0,0.0,0.9166666666666666,6.444444444444444,1.0
A Chandila,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,2012-05-13,24,13.0,4,0.0,0.0,4.0,3.25,1,0,114,6,2.0,0.9166666666666666,6.444444444444444,1.0
A Chandila,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2012-05-18,24,20.0,1,0.0,1.0,4.0,5.0,0,0,29,4,1.6666666666666667,0.9166666666666666,6.444444444444444,1.0
A Chandila,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,2012-05-20,12,24.0,0,0.0,0.0,2.0,12.0,0,0,-6,-6,1.25,0.9166666666666666,6.444444444444444,1.0
A Chandila,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,2013-04-14,18,14.0,0,0.0,0.0,3.0,4.666666666666667,0,0,6,6,1.0,0.9166666666666666,6.444444444444444,1.0
A Chandila,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,2013-04-17,12,6.0,2,0.0,2.0,2.0,3.0,0,0,56,6,1.4,0.9166666666666666,6.444444444444444,1.0
A Chandila,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,2013-04-20,24,21.0,0,0.0,0.0,4.0,5.25,0,0,4,4,0.6,0.9166666666666666,6.444444444444444,0.0
A Chandila,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",2013-04-22,18,16.0,1,0.0,0.0,3.0,5.333333333333333,0,0,29,4,0.6,0.9166666666666666,6.444444444444444,1.0
A Chandila,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,2013-04-27,18,13.0,2,0.0,0.0,3.0,4.333333333333333,0,0,56,6,1.0,0.9166666666666666,6.444444444444444,1.0
A Chandila,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,2013-04-29,24,39.0,0,0.0,0.0,4.0,9.75,0,0,-2,-2,1.0,0.9166666666666666,6.444444444444444,1.0
A Chandila,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,2013-05-05,12,23.0,0,0.0,0.0,2.0,11.5,0,0,-6,-6,0.6,0.9166666666666666,6.444444444444444,1.0
A Chandila,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",2013-05-09,24,24.0,1,0.0,0.0,4.0,6.0,0,0,27,2,0.8,0.9166666666666666,6.444444444444444,1.0
A Choudhary,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2017-04-05,27,51.0,1,0.0,0.0,4.3,11.86046511627907,0,0,19,-6,1.0,1.0,7.981560872479761,1.0
A Choudhary,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,2017-04-27,14,19.0,0,0.0,0.0,2.2,8.636363636363635,0,0,0,0,0.5,1.0,7.981560872479761,1.0
A Choudhary,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,2017-05-01,25,31.0,1,0.0,0.0,4.1,7.560975609756098,0,0,25,0,0.6666666666666666,1.0,7.981560872479761,1.0
A Choudhary,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,2017-05-05,24,17.0,2,0.0,0.0,4.0,4.25,0,0,56,6,1.0,1.0,7.981560872479761,1.0
A Choudhary,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2017-05-07,17,19.0,1,0.0,0.0,2.5,7.6,0,0,25,0,1.0,1.0,7.981560872479761,1.0
A Dananjaya,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,2018-04-14,25,46.0,0,0.0,0.0,4.1,11.219512195121952,0,0,-6,-6,0.0,0.0,11.219512195121952,0.0
A Flintoff,Chennai Super Kings,Mumbai Indians,Newlands,2009-04-18,24,44.0,1,1.0,0.0,4.0,11.0,0,0,21,-4,1.0,0.6666666666666666,9.055555555555555,1.0
A Flintoff,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,2009-04-20,18,11.0,1,0.0,0.0,3.0,3.6666666666666665,0,0,31,6,1.0,0.6666666666666666,9.055555555555555,1.0
A Flintoff,Chennai Super Kings,Delhi Daredevils,Kingsmead,2009-04-23,24,50.0,0,0.0,0.0,4.0,12.5,0,0,-6,-6,0.6666666666666666,0.6666666666666666,9.055555555555555,0.0
A Kumble,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,2008-04-26,25,21.0,0,0.0,0.0,4.1,5.121951219512195,0,0,4,4,0.0,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,2008-05-03,25,46.0,0,0.0,0.0,4.1,11.219512195121952,0,0,-6,-6,0.0,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,2008-05-05,22,34.0,0,0.0,0.0,3.4,10.0,0,0,-2,-2,0.0,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,2008-05-08,18,21.0,1,0.0,1.0,3.0,7.0,0,0,25,0,0.25,1.1666666666666667,6.311763871798154,0.5
A Kumble,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",2008-05-12,25,35.0,0,0.0,4.0,4.1,8.536585365853659,0,0,0,0,0.2,1.1666666666666667,6.311763871798154,0.5
A Kumble,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,2008-05-17,24,32.0,1,0.0,2.0,4.0,8.0,0,0,25,0,0.4,1.1666666666666667,6.311763871798154,0.5
A Kumble,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,2008-05-19,24,18.0,2,0.0,0.0,4.0,4.5,0,0,56,6,0.8,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",2008-05-21,24,14.0,3,0.0,1.0,4.0,3.5,0,0,81,6,1.4,1.1666666666666667,6.311763871798154,2.0
A Kumble,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2008-05-25,25,28.0,1,0.0,2.0,4.1,6.829268292682928,0,0,27,2,1.4,1.1666666666666667,6.311763871798154,1.0
A Kumble,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,2008-05-28,24,45.0,0,0.0,0.0,4.0,11.25,0,0,-6,-6,1.4,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Royal Challengers Bangalore,Rajasthan Royals,Newlands,2009-04-18,19,5.0,5,0.0,1.0,3.1,1.6129032258064515,0,1,147,6,2.2,1.1666666666666667,6.311763871798154,2.5
A Kumble,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,2009-04-20,25,21.0,0,0.0,0.0,4.1,5.121951219512195,0,0,4,4,1.8,1.1666666666666667,6.311763871798154,0.0
A Kumble,Royal Challengers Bangalore,Deccan Chargers,Newlands,2009-04-22,24,39.0,0,0.0,0.0,4.0,9.75,0,0,-2,-2,1.2,1.1666666666666667,6.311763871798154,2.5
A Kumble,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,2009-04-24,24,19.0,1,0.0,0.0,4.0,4.75,0,0,31,6,1.2,1.1666666666666667,6.311763871798154,1.75
A Kumble,Royal Challengers Bangalore,Delhi Daredevils,St George's Park,2009-04-26,24,22.0,0,0.0,0.0,4.0,5.5,0,0,4,4,1.2,1.1666666666666667,6.311763871798154,0.0
A Kumble,Royal Challengers Bangalore,Kolkata Knight Riders,Kingsmead,2009-04-29,24,16.0,2,0.0,1.0,4.0,4.0,0,0,56,6,0.6,1.1666666666666667,6.311763871798154,1.75
A Kumble,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,2009-05-01,24,25.0,2,0.0,0.0,4.0,6.25,0,0,52,2,1.0,1.1666666666666667,6.311763871798154,1.75
A Kumble,Royal Challengers Bangalore,Mumbai Indians,New Wanderers Stadium,2009-05-03,12,18.0,0,0.0,0.0,2.0,9.0,0,0,0,0,1.0,1.1666666666666667,6.311763871798154,1.5
A Kumble,Royal Challengers Bangalore,Rajasthan Royals,SuperSport Park,2009-05-07,12,12.0,1,0.0,0.0,2.0,6.0,0,0,27,2,1.0,1.1666666666666667,6.311763871798154,1.3333333333333333
A Kumble,Royal Challengers Bangalore,Mumbai Indians,St George's Park,2009-05-10,24,32.0,0,0.0,0.0,4.0,8.0,0,0,0,0,1.0,1.1666666666666667,6.311763871798154,0.0
A Kumble,Royal Challengers Bangalore,Kolkata Knight Riders,SuperSport Park,2009-05-12,24,28.0,1,0.0,0.0,4.0,7.0,0,0,25,0,0.8,1.1666666666666667,6.311763871798154,1.3333333333333333
A Kumble,Royal Challengers Bangalore,Chennai Super Kings,Kingsmead,2009-05-14,24,12.0,2,0.0,0.0,4.0,3.0,0,0,56,6,0.8,1.1666666666666667,6.311763871798154,1.75
A Kumble,Royal Challengers Bangalore,Delhi Daredevils,New Wanderers Stadium,2009-05-19,26,22.0,2,0.0,0.0,4.2,5.238095238095238,0,0,54,4,1.2,1.1666666666666667,6.311763871798154,1.5
A Kumble,Royal Challengers Bangalore,Deccan Chargers,SuperSport Park,2009-05-21,24,23.0,2,0.0,1.0,4.0,5.75,0,0,54,4,1.4,1.1666666666666667,6.311763871798154,1.3333333333333333
A Kumble,Royal Challengers Bangalore,Chennai Super Kings,New Wanderers Stadium,2009-05-23,24,30.0,0,0.0,1.0,4.0,7.5,0,0,0,0,1.4,1.1666666666666667,6.311763871798154,1.5
A Kumble,Royal Challengers Bangalore,Deccan Chargers,New Wanderers Stadium,2009-05-24,24,16.0,4,0.0,2.0,4.0,4.0,1,0,114,6,2.0,1.1666666666666667,6.311763871798154,1.5
A Kumble,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,2010-03-14,24,19.0,0,0.0,0.0,4.0,4.75,0,0,6,6,1.6,1.1666666666666667,6.311763871798154,0.5
A Kumble,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,2010-03-16,25,39.0,0,0.0,0.0,4.1,9.51219512195122,0,0,-2,-2,1.2,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,2010-03-18,23,9.0,5,0.0,1.0,3.5,2.571428571428572,0,1,147,6,1.8,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Mumbai Indians,Royal Challengers Bangalore,Brabourne Stadium,2010-03-20,24,18.0,1,0.0,2.0,4.0,4.5,0,0,31,6,2.0,1.1666666666666667,6.311763871798154,1.0
A Kumble,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,2010-03-23,24,15.0,1,0.0,4.0,4.0,3.75,0,0,31,6,1.4,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,2010-03-25,24,30.0,0,0.0,0.0,4.0,7.5,0,0,0,0,1.4,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",2010-03-31,24,16.0,1,0.0,2.0,4.0,4.0,0,0,31,6,1.6,1.1666666666666667,6.311763871798154,2.0
A Kumble,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",2010-04-02,24,31.0,1,0.0,0.0,4.0,7.75,0,0,25,0,0.8,1.1666666666666667,6.311763871798154,0.5
A Kumble,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2010-04-04,24,33.0,1,0.0,0.0,4.0,8.25,0,0,25,0,0.8,1.1666666666666667,6.311763871798154,1.0
A Kumble,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,2010-04-08,25,37.0,1,0.0,0.0,4.1,9.02439024390244,0,0,23,-2,0.8,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,2010-04-10,25,12.0,1,0.0,1.0,4.1,2.926829268292684,0,0,31,6,1.0,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Deccan Chargers,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",2010-04-12,24,25.0,1,0.0,0.0,4.0,6.25,0,0,27,2,1.0,1.1666666666666667,6.311763871798154,1.0
A Kumble,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,2010-04-14,24,23.0,0,0.0,1.0,4.0,5.75,0,0,4,4,0.8,1.1666666666666667,6.311763871798154,0.5
A Kumble,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,2010-04-17,25,36.0,1,0.0,2.0,4.1,8.78048780487805,0,0,25,0,0.8,1.1666666666666667,6.311763871798154,0.9166666666666666
A Kumble,Royal Challengers Bangalore,Mumbai Indians,Dr DY Patil Sports Academy,2010-04-21,24,26.0,1,0.0,2.0,4.0,6.5,0,0,27,2,0.8,1.1666666666666667,6.311763871798154,2.5
A Kumble,Royal Challengers Bangalore,Deccan Chargers,Dr DY Patil Sports Academy,2010-04-24,21,16.0,4,0.0,0.0,3.3,4.848484848484849,1,0,114,6,1.4,1.1666666666666667,6.311763871798154,2.5
A Mishra,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,2008-05-11,19,24.0,2,0.0,0.0,3.1,7.741935483870967,0,0,50,0,2.0,1.1296296296296295,7.325442292378323,1.25
A Mishra,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,2008-05-13,18,13.0,0,0.0,1.0,3.0,4.333333333333333,0,0,6,6,1.0,1.1296296296296295,7.325442292378323,0.5714285714285714
A Mishra,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,2008-05-15,24,17.0,5,0.0,0.0,4.0,4.25,0,1,147,6,2.3333333333333335,1.1296296296296295,7.325442292378323,1.28125
A Mishra,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,2008-05-17,12,21.0,1,0.0,0.0,2.0,10.5,0,0,21,-4,2.0,1.1296296296296295,7.325442292378323,1.28125
A Mishra,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2008-05-24,24,23.0,1,0.0,0.0,4.0,5.75,0,0,29,4,1.8,1.1296296296296295,7.325442292378323,1.28125
A Mishra,Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,2008-05-30,25,36.0,2,0.0,1.0,4.1,8.78048780487805,0,0,50,0,1.8,1.1296296296296295,7.325442292378323,1.0
A Mishra,Royal Challengers Bangalore,Delhi Daredevils,St George's Park,2009-04-26,26,17.0,1,0.0,0.0,4.2,4.047619047619048,0,0,31,6,2.0,1.1296296296296295,7.325442292378323,1.0
A Mishra,Delhi Daredevils,Rajasthan Royals,SuperSport Park,2009-04-28,25,33.0,3,0.0,0.0,4.1,8.048780487804878,0,0,75,0,1.6,1.1296296296296295,7.325442292378323,1.75
A Mishra,Deccan Chargers,Delhi Daredevils,SuperSport Park,2009-04-30,24,32.0,1,0.0,2.0,4.0,8.0,0,0,25,0,1.6,1.1296296296296295,7.325442292378323,1.75
A Mishra,Chennai Super Kings,Delhi Daredevils,New Wanderers Stadium,2009-05-02,18,24.0,0,0.0,0.0,3.0,8.0,0,0,0,0,1.4,1.1296296296296295,7.325442292378323,1.5
A Mishra,Delhi Daredevils,Kolkata Knight Riders,Kingsmead,2009-05-05,24,18.0,0,0.0,0.0,4.0,4.5,0,0,6,6,1.0,1.1296296296296295,7.325442292378323,0.0
A Mishra,Delhi Daredevils,Mumbai Indians,Buffalo Park,2009-05-08,25,17.0,0,0.0,0.0,4.1,4.146341463414634,0,0,6,6,0.8,1.1296296296296295,7.325442292378323,0.0
A Mishra,Delhi Daredevils,Kolkata Knight Riders,New Wanderers Stadium,2009-05-10,24,13.0,3,0.0,2.0,4.0,3.25,0,0,81,6,0.8,1.1296296296296295,7.325442292378323,1.5
A Mishra,Deccan Chargers,Delhi Daredevils,Kingsmead,2009-05-13,18,39.0,0,0.0,0.0,3.0,13.0,0,0,-6,-6,0.6,1.1296296296296295,7.325442292378323,0.0
A Mishra,Delhi Daredevils,Rajasthan Royals,OUTsurance Oval,2009-05-17,24,30.0,3,0.0,0.0,4.0,7.5,0,0,75,0,1.2,1.1296296296296295,7.325442292378323,3.0
A Mishra,Delhi Daredevils,Mumbai Indians,SuperSport Park,2009-05-21,24,41.0,0,0.0,2.0,4.0,10.25,0,0,-4,-4,1.2,1.1296296296296295,7.325442292378323,1.75
A Mishra,Delhi Daredevils,Deccan Chargers,SuperSport Park,2009-05-22,24,19.0,3,0.0,0.0,4.0,4.75,0,0,81,6,1.8,1.1296296296296295,7.325442292378323,1.75
A Mishra,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",2010-03-13,24,23.0,1,0.0,0.0,4.0,5.75,0,0,29,4,1.4,1.1296296296296295,7.325442292378323,0.6666666666666666
A Mishra,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",2010-03-15,24,34.0,2,0.0,0.0,4.0,8.5,0,0,50,0,1.8,1.1296296296296295,7.325442292378323,1.0
A Mishra,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,2010-03-17,25,43.0,1,0.0,0.0,4.1,10.48780487804878,0,0,21,-4,1.4,1.1296296296296295,7.325442292378323,1.28125
A Mishra,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,2010-03-19,21,22.0,1,0.0,0.0,3.3,6.666666666666667,0,0,27,2,1.6,1.1296296296296295,7.325442292378323,1.28125
A Mishra,Deccan Chargers,Delhi Daredevils,Barabati Stadium,2010-03-21,18,10.0,1,0.0,1.0,3.0,3.333333333333333,0,0,31,6,1.2,1.1296296296296295,7.325442292378323,0.6666666666666666
A Mishra,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,2010-03-25,24,23.0,2,0.0,4.0,4.0,5.75,0,0,54,4,1.4,1.1296296296296295,7.325442292378323,1.0
A Mishra,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,2010-03-29,24,18.0,1,0.0,1.0,4.0,4.5,0,0,31,6,1.2,1.1296296296296295,7.325442292378323,1.28125
A Mishra,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,2010-03-31,26,23.0,4,0.0,0.0,4.2,5.476190476190476,1,0,112,4,1.8,1.1296296296296295,7.325442292378323,1.28125
A Mishra,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2010-04-04,24,27.0,3,0.0,0.0,4.0,6.75,0,0,77,2,2.2,1.1296296296296295,7.325442292378323,1.28125
A Mishra,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,2010-04-07,26,39.0,0,0.0,0.0,4.2,9.285714285714285,0,0,-2,-2,2.0,1.1296296296296295,7.325442292378323,0.5714285714285714
A Mishra,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,2010-04-11,24,15.0,1,0.0,1.0,4.0,3.75,0,0,31,6,1.8,1.1296296296296295,7.325442292378323,1.28125
A Mishra,Mumbai Indians,Delhi Daredevils,Brabourne Stadium,2010-04-13,18,30.0,0,0.0,1.0,3.0,10.0,0,0,-2,-2,1.6,1.1296296296296295,7.325442292378323,0.0
A Mishra,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",2010-04-15,24,12.0,2,0.0,0.0,4.0,3.0,0,0,56,6,1.2,1.1296296296296295,7.325442292378323,1.4
A Mishra,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,2010-04-18,24,28.0,1,0.0,0.0,4.0,7.0,0,0,25,0,0.8,1.1296296296296295,7.325442292378323,1.28125
A Mishra,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2011-04-09,24,28.0,0,0.0,0.0,4.0,7.0,0,0,0,0,0.8,1.1296296296296295,7.325442292378323,1.2916666666666667
A Mishra,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,2011-04-11,24,19.0,2,0.0,1.0,4.0,4.75,0,0,56,6,1.0,1.1296296296296295,7.325442292378323,0.5714285714285714
A Mishra,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2011-04-14,24,40.0,1,0.0,0.0,4.0,10.0,0,0,23,-2,1.2,1.1296296296296295,7.325442292378323,1.2916666666666667
A Mishra,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2011-04-16,24,28.0,2,0.0,1.0,4.0,7.0,0,0,50,0,1.2,1.1296296296296295,7.325442292378323,1.2916666666666667
A Mishra,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,2011-04-19,24,28.0,1,2.0,0.0,4.0,7.0,0,0,25,0,1.2,1.1296296296296295,7.325442292378323,1.28125
A Mishra,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",2011-04-24,24,14.0,2,0.0,0.0,4.0,3.5,0,0,56,6,1.6,1.1296296296296295,7.325442292378323,1.2916666666666667
A Mishra,Kochi Tuskers Kerala,Deccan Chargers,Nehru Stadium,2011-04-27,24,12.0,1,0.0,2.0,4.0,3.0,0,0,31,6,1.4,1.1296296296296295,7.325442292378323,1.0
A Mishra,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2011-05-01,18,34.0,0,0.0,0.0,3.0,11.333333333333334,0,0,-6,-6,1.2,1.1296296296296295,7.325442292378323,1.4
A Mishra,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2011-05-03,19,21.0,1,0.0,0.0,3.1,6.774193548387097,0,0,27,2,1.0,1.1296296296296295,7.325442292378323,1.2916666666666667
A Mishra,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2011-05-05,24,53.0,1,0.0,0.0,4.0,13.25,0,0,19,-6,1.0,1.1296296296296295,7.325442292378323,1.2916666666666667
A Mishra,Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",2011-05-10,20,25.0,1,0.0,0.0,3.2,7.8125,0,0,25,0,0.8,1.1296296296296295,7.325442292378323,1.2916666666666667
A Mishra,Mumbai Indians,Deccan Chargers,Wankhede Stadium,2011-05-14,24,18.0,1,4.0,0.0,4.0,4.5,0,0,31,6,0.8,1.1296296296296295,7.325442292378323,1.0
A Mishra,Pune Warriors,Deccan Chargers,Dr DY Patil Sports Academy,2011-05-16,25,25.0,2,0.0,0.0,4.1,6.097560975609756,0,0,52,2,1.2,1.1296296296296295,7.325442292378323,2.0
